year,month,decimal,average,average_unc,trend,trend_unc
2016,9,2016.708,1844.18,1.36,1844.62,0.65
2016,10,2016.792,1849.88,1.20,1845.13,0.64
2016,11,2016.875,1851.42,1.24,1845.63,0.63
2016,12,2016.958,1851.09,0.96,1846.12,0.62
2017,1,2017.042,1849.81,0.85,1846.61,0.60
2017,2,2017.125,1848.47,1.06,1847.08,0.59
2017,3,2017.208,1848.24,1.22,1847.57,0.58
2017,4,2017.292,1848.59,1.31,1848.08,0.57
2017,5,2017.375,1847.12,0.82,1848.60,0.57
2017,6,2017.458,1842.96,0.92,1849.15,0.57
2017,7,2017.542,1840.51,1.48,1849.72,0.58
2017,8,2017.625,1844.73,1.28,1850.32,0.59
2017,9,2017.708,1852.82,1.01,1850.93,0.61
2017,10,2017.792,1858.13,1.02,1851.57,0.63
2017,11,2017.875,1858.62,0.88,1852.23,0.65
2017,12,2017.958,1856.57,0.93,1852.91,0.67
2018,1,2018.042,1854.45,0.94,1853.62,0.70
2018,2,2018.125,1854.95,0.78,1854.30,0.72
2018,3,2018.208,1856.87,0.77,1855.00,0.74
2018,4,2018.292,1856.72,0.93,1855.74,0.75
2018,5,2018.375,1854.81,1.48,1856.47,0.76
2018,6,2018.458,1852.01,1.53,1857.21,0.77
2018,7,2018.542,1849.11,1.70,1857.96,0.77
2018,8,2018.625,1851.92,1.84,1858.71,0.76
2018,9,2018.708,1860.48,0.92,1859.44,0.76
2018,10,2018.792,1865.77,1.02,1860.17,0.74
2018,11,2018.875,1866.26,1.04,1860.89,0.73
2018,12,2018.958,1866.03,0.97,1861.60,0.71
2019,1,2019.042,1865.00,1.05,1862.32,0.68
2019,2,2019.125,1865.00,0.92,1863.00,0.65
2019,3,2019.208,1866.32,0.92,1863.69,0.63
2019,4,2019.292,1865.35,0.57,1864.41,0.61
2019,5,2019.375,1861.97,1.17,1865.14,0.58
2019,6,2019.458,1858.78,1.37,1865.88,0.56
2019,7,2019.542,1858.25,1.43,1866.65,0.54
2019,8,2019.625,1862.89,1.43,1867.47,0.53
2019,9,2019.708,1870.78,1.14,1868.31,0.52
2019,10,2019.792,1875.43,1.17,1869.18,0.52
2019,11,2019.875,1875.60,0.95,1870.10,0.53
2019,12,2019.958,1874.62,0.75,1871.07,0.55
2020,1,2020.042,1872.92,1.06,1872.10,0.57
2020,2,2020.125,1872.27,0.98,1873.13,0.59
2020,3,2020.208,1874.39,0.74,1874.21,0.60
2020,4,2020.292,1875.82,1.53,1875.34,0.62
2020,5,2020.375,1874.40,1.32,1876.51,0.62
2020,6,2020.458,1871.97,1.08,1877.72,0.62
2020,7,2020.542,1871.49,1.16,1878.96,0.62
2020,8,2020.625,1876.38,1.14,1880.25,0.61
2020,9,2020.708,1884.56,1.07,1881.55,0.59
2020,10,2020.792,1889.97,0.90,1882.88,0.57
2020,11,2020.875,1891.45,0.70,1884.23,0.55
2020,12,2020.958,1890.87,0.88,1885.61,0.53
2021,1,2021.042,1888.36,1.27,1887.05,0.52
2021,2,2021.125,1886.49,0.97,1888.43,0.50
2021,3,2021.208,1887.98,0.91,1889.84,0.49
